0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,4,0,0,0,1,1,1,0,103,0,1,0,0,0
0,0,3,200,1,0,0,0,0,0,3,0,200,200,200,200,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,3,0,0,0,1,0,0,0,4,0,1,1,0,0
0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,10,200,0,200,0,0,200,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,200,1,0,0,0,0,0,0,0,0,0,10,0,0,0
0,0,1,0,0,0,104,0,0,0,1,1,1,0,3,0,1,0,0,0
0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,3,0,0,0,1,0,0,0,103,200,1,1,0,0
0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
